mag_x_raw,mag_y_raw,mag_z_raw
28,21,221
52,25,209
73,33,196
91,42,181
104,49,165
116,53,150
125,53,136
134,49,122
139,45,114
140,42,113
136,40,124
129,36,139
119,29,155
105,20,174
83,10,193
52,0,211
16,-14,225
-24,-27,233
-65,-39,233
-103,-51,228
-138,-64,216
-166,-77,201
-190,-87,183
-211,-92,165
-226,-95,146
-239,-94,127
-247,-89,109
-253,-80,97
-257,-65,86
-261,-48,73
-261,-33,56
-257,-26,36
-252,-24,21
-247,-24,9
-247,-25,12
-247,-24,13
-244,-21,7
-237,-19,-7
-227,-16,-22
-212,-19,-39
-196,-18,-55
-176,-19,-69
-152,-20,-83
-122,-20,-95
-86,-23,-104
-47,-22,-107
-12,-24,-104
19,-28,-98
46,-30,-90
71,-31,-78
93,-31,-64
111,-35,-51
122,-39,-41
129,-42,-34
129,-44,-34
125,-42,-40
113,-39,-50
95,-33,-65
69,-23,-82
35,-17,-98
-6,-9,-108
-49,-1,-110
-93,6,-105
-134,15,-93
-172,23,-74
-203,27,-49
-226,27,-25
-241,24,-3
-250,19,16
-254,13,30
-256,6,38
-257,1,40
-254,1,32
-250,7,19
-244,17,6
-237,29,-6
-228,40,-18
-219,46,-28
-207,49,-41
-189,55,-54
-168,68,-66
-141,78,-79
-112,86,-88
-61,97,-97
-47,98,-98
-34,104,-97
-22,108,-95
-14,110,-94
-16,112,-94
-28,112,-95
-52,112,-96
-86,109,-91
-124,102,-81
-165,94,-66
-197,87,-44
-223,82,-17
-240,80,14
-249,75,41
-253,67,60
-255,61,71
-256,58,78
-257,53,83
-258,50,84
-258,48,88
-256,50,95
-254,48,105
-251,46,117
-245,48,129
-240,53,138
-234,57,145
-230,60,152
-225,60,157
-221,59,163
-216,53,169
-207,52,178
-195,50,189
-175,50,203
-151,52,214
-123,53,223
-95,53,229
-69,52,232
-46,49,233
-25,43,232
-3,36,229
18,29,225
36,22,219
53,15,212
70,9,204
86,5,194
100,2,183
111,-1,174
117,-4,167
121,-6,162
109,-2,174
92,0,188
69,4,204
39,7,219
4,8,229
-35,12,235
-78,17,235
-117,31,227
-151,42,214
-179,51,200
-198,58,184
-213,63,168
-225,68,152
-234,77,135
-242,84,112
-246,88,89
-249,87,64
-248,79,36
-243,69,9
-230,62,-18
-216,47,-41
-201,26,-59
-185,2,-73
-176,-14,-78
-177,-16,-77
-178,-21,-76
-170,-21,-80
-150,-33,-88
-120,-41,-98
-86,-46,-104
-54,-48,-106
-17,-44,-104
16,-37,-96
40,-28,-88
59,-20,-79
75,-13,-70
87,-3,-61
94,8,-56
100,14,-51
105,15,-47
109,15,-44
113,14,-42
118,13,-37
125,12,-30
132,12,-21
136,10,-17
132,7,-22
123,6,-35
109,4,-51
109,4,-51
25,-24,-103
-29,-36,-111
-90,-44,-105
-151,-48,-82
-199,-43,-50
-230,-32,-15
-247,-21,15
-254,-11,37
-256,-3,52
-257,-1,61
-258,-4,63
-258,-8,62
-259,-10,61
-260,-13,58
-261,-15,53
-261,-16,48
-261,-17,43
-261,-17,39
-261,-16,35
-261,-15,34
-262,-15,32
-263,-17,30
-263,-18,28
-263,-30,25
-259,-50,21
-253,-73,16
-244,-93,9
-235,-109,2
-225,-123,-3
-215,-135,-5
-206,-146,-5
-197,-156,-3
-186,-166,-4
-176,-174,-4
-167,-181,-4
-158,-189,-3
-148,-196,2
-136,-201,5
-122,-205,7
-110,-208,8
-98,-209,9
-85,-210,9
-77,-210,9
-71,-211,9
-67,-210,9
-64,-211,10
-62,-211,12
-62,-212,13
-64,-212,14
-64,-213,11
-86,-214,10
-99,-215,11
-114,-214,12
-127,-212,13
-138,-208,13
-148,-203,14
-159,-197,14
-173,-190,15
-188,-181,15
-201,-170,15
-213,-158,12
-221,-147,8
-227,-138,3
-232,-129,1
-239,-116,-1
-245,-100,-2
-252,-83,1
-257,-63,3
-261,-42,3
-262,-19,3
-260,6,1
-255,31,0
-248,56,0
