mag_x_raw,mag_y_raw,mag_z_raw
14,75,-197
16,68,-196
15,61,-196
12,54,-194
11,49,-192
7,43,-191
1,37,-189
-5,33,-187
-9,32,-186
-13,34,-187
-16,36,-188
-19,37,-188
-21,39,-189
-20,40,-189
-14,40,-191
-8,41,-191
-6,42,-192
-4,42,-192
3,42,-191
9,42,-192
12,41,-191
12,39,-191
8,33,-188
1,25,-183
-10,15,-176
-24,6,-168
-37,-3,-156
-50,-12,-142
-61,-23,-123
-74,-30,-101
-86,-34,-78
-100,-33,-57
-110,-29,-40
-117,-26,-28
-116,-26,-22
-102,-35,-19
-104,-34,-18
-108,-32,-12
-110,-30,-5
-114,-27,4
-116,-24,13
-119,-19,25
-122,-13,35
-124,-5,45
-127,3,55
-128,10,64
-128,18,70
-130,24,76
-129,31,83
-125,37,90
-120,43,98
-115,47,103
-113,54,108
-109,59,112
-108,62,113
-106,64,114
-104,65,116
-101,66,118
-97,67,120
-92,70,123
-85,70,128
-78,68,130
-73,62,133
-69,59,134
-68,59,134
-69,59,135
-73,60,134
-77,62,132
-79,66,132
-80,72,131
-81,81,131
-82,93,128
-86,106,123
-94,116,114
-104,122,104
-116,127,89
-127,133,71
-138,137,51
-145,140,29
-150,140,9
-157,135,-10
-161,128,-29
-163,120,-49
-160,113,-71
-152,109,-93
-128,96,-133
-112,94,-148
-95,98,-161
-77,107,-171
-60,122,-173
-43,139,-170
-27,158,-160
-14,175,-144
-2,190,-121
10,202,-93
21,207,-64
27,209,-36
25,208,-9
20,204,17
11,197,42
-1,188,63
-14,179,80
-27,170,91
-35,159,102
-36,150,112
-33,139,122
-29,126,131
-23,112,140
-16,99,145
-8,90,148
1,87,148
7,87,148
10,90,147
12,93,146
13,95,147
12,95,146
11,97,146
8,98,145
0,99,145
-7,100,145
-13,99,145
-19,95,146
-20,89,147
-20,83,148
-19,76,148
-15,70,149
-12,64,149
-8,58,150
-3,53,148
1,49,148
1,46,148
0,45,148
0,42,147
-1,38,146
-2,29,142
1,24,140
6,19,138
8,15,136
5,13,134
1,12,134
-5,10,132
-13,7,129
-24,6,127
-31,4,125
-31,-1,121
-28,-7,116
-27,-13,111
-26,-20,104
-21,-28,95
-13,-38,83
-11,-47,66
-8,-55,47
-5,-60,27
-1,-64,5
-1,-65,-17
1,-64,-41
9,-59,-65
18,-53,-88
21,-43,-108
26,-34,-126
26,-24,-139
23,-18,-148
24,-13,-153
25,-11,-155
30,-9,-155
35,-5,-159
36,3,-165
33,14,-174
27,30,-184
18,48,-192
8,66,-196
0,80,-196
